"maritl","education"
"Single","Not-H-School"
"Single","Uni"
"Married","Start Uni"
"Married","Uni"
"Divorced","H-School"
"Married","Uni"
"Married","Start Uni"
"Single","Start Uni"
"Single","Start Uni"
"Married","H-School"
"Divorced","Start Uni"
"Married","H-School"
"Single","H-School"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Single","Uni"
"Married","Advanced"
"Married","Uni"
"Single","Start Uni"
"Married","Uni"
"Divorced","H-School"
"Married","Uni"
"Married","Uni"
"Single","H-School"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Single","H-School"
"Married","Advanced"
"Married","Start Uni"
"Single","Advanced"
"Single","H-School"
"Married","Uni"
"Single","Advanced"
"Single","Uni"
"Single","Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Uni"
"Single","Uni"
"Single","Not-H-School"
"Single","Not-H-School"
"Married","H-School"
"Married","Advanced"
"Married","Uni"
"Married","Advanced"
"Single","Not-H-School"
"Single","H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Uni"
"Single","Start Uni"
"Single","Advanced"
"Single","H-School"
"Married","Advanced"
"Single","Uni"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Single","H-School"
"Married","H-School"
"Single","H-School"
"Single","H-School"
"Single","Start Uni"
"Single","Not-H-School"
"Married","Advanced"
"Married","Uni"
"Single","Not-H-School"
"Married","H-School"
"Single","Not-H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Advanced"
"Single","Not-H-School"
"Widowed","H-School"
"Married","H-School"
"Divorced","H-School"
"Married","Not-H-School"
"Married","Uni"
"Married","Advanced"
"Married","Uni"
"Married","H-School"
"Divorced","Not-H-School"
"Married","Advanced"
"Single","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Single","Uni"
"Divorced","Start Uni"
"Married","Not-H-School"
"Divorced","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Married","Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Divorced","H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Separated","Not-H-School"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Single","H-School"
"Married","Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","Advanced"
"Divorced","H-School"
"Divorced","Advanced"
"Married","Advanced"
"Married","Uni"
"Married","Advanced"
"Single","H-School"
"Married","Uni"
"Married","Advanced"
"Married","H-School"
"Single","H-School"
"Single","H-School"
"Single","H-School"
"Married","H-School"
"Single","H-School"
"Single","H-School"
"Divorced","Advanced"
"Married","Advanced"
"Married","H-School"
"Married","Uni"
"Single","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Single","Uni"
"Married","Not-H-School"
"Divorced","Advanced"
"Married","Advanced"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","H-School"
"Divorced","Uni"
"Married","Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","Not-H-School"
"Married","Start Uni"
"Married","Start Uni"
"Single","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Divorced","Not-H-School"
"Married","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Single","Start Uni"
"Married","Advanced"
"Married","H-School"
"Single","Uni"
"Married","Start Uni"
"Married","Uni"
"Married","Not-H-School"
"Divorced","H-School"
"Married","Advanced"
"Married","Advanced"
"Married","H-School"
"Single","Uni"
"Single","Start Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","Start Uni"
"Single","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Married","Advanced"
"Single","Uni"
"Single","Advanced"
"Single","Not-H-School"
"Single","Advanced"
"Married","H-School"
"Married","Advanced"
"Married","H-School"
"Married","Uni"
"Married","Advanced"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","H-School"
"Single","H-School"
"Married","H-School"
"Separated","Uni"
"Married","Start Uni"
"Single","H-School"
"Married","Start Uni"
"Single","Start Uni"
"Married","Not-H-School"
"Married","H-School"
"Separated","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Single","H-School"
"Married","H-School"
"Single","H-School"
"Married","Start Uni"
"Divorced","H-School"
"Single","Uni"
"Single","Advanced"
"Single","H-School"
"Married","H-School"
"Married","Start Uni"
"Single","Start Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","Start Uni"
"Separated","Not-H-School"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Widowed","Uni"
"Married","Uni"
"Married","Uni"
"Married","Not-H-School"
"Single","H-School"
"Married","Advanced"
"Single","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","Start Uni"
"Married","H-School"
"Married","Uni"
"Married","Start Uni"
"Divorced","Start Uni"
"Single","H-School"
"Married","H-School"
"Married","Uni"
"Married","Not-H-School"
"Married","H-School"
"Single","Start Uni"
"Widowed","H-School"
"Married","Advanced"
"Married","H-School"
"Married","Not-H-School"
"Single","Start Uni"
"Single","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Advanced"
"Married","H-School"
"Divorced","H-School"
"Married","Advanced"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Single","Start Uni"
"Single","H-School"
"Married","Uni"
"Separated","H-School"
"Married","Advanced"
"Single","H-School"
"Single","Start Uni"
"Single","H-School"
"Married","Not-H-School"
"Separated","Uni"
"Married","H-School"
"Single","Advanced"
"Separated","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Single","Uni"
"Married","Uni"
"Married","Uni"
"Single","H-School"
"Divorced","H-School"
"Single","Start Uni"
"Married","H-School"
"Married","H-School"
"Single","Uni"
"Single","Uni"
"Married","Not-H-School"
"Single","H-School"
"Divorced","Uni"
"Married","Advanced"
"Single","H-School"
"Married","H-School"
"Married","H-School"
"Single","H-School"
"Married","Start Uni"
"Married","Not-H-School"
"Single","H-School"
"Married","Uni"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Single","Uni"
"Married","H-School"
"Married","Advanced"
"Married","Advanced"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Uni"
"Married","Advanced"
"Single","Advanced"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Single","H-School"
"Married","H-School"
"Married","Not-H-School"
"Divorced","Advanced"
"Married","Uni"
"Married","Uni"
"Divorced","Advanced"
"Married","Start Uni"
"Single","Advanced"
"Married","Advanced"
"Married","Uni"
"Widowed","Start Uni"
"Single","Start Uni"
"Single","Start Uni"
"Divorced","Uni"
"Married","Uni"
"Married","Start Uni"
"Married","Advanced"
"Married","Not-H-School"
"Single","Start Uni"
"Married","H-School"
"Married","Uni"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Single","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Uni"
"Divorced","Start Uni"
"Single","Not-H-School"
"Married","Not-H-School"
"Single","Uni"
"Married","Not-H-School"
"Married","H-School"
"Single","Start Uni"
"Divorced","H-School"
"Single","Start Uni"
"Married","Start Uni"
"Married","Advanced"
"Married","H-School"
"Married","Start Uni"
"Single","Advanced"
"Married","Start Uni"
"Single","H-School"
"Married","H-School"
"Separated","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","Advanced"
"Married","Uni"
"Married","Uni"
"Married","Start Uni"
"Single","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Single","Uni"
"Married","Start Uni"
"Divorced","Uni"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","Start Uni"
"Married","H-School"
"Single","Uni"
"Married","Uni"
"Married","H-School"
"Single","Advanced"
"Married","H-School"
"Married","Start Uni"
"Single","Uni"
"Married","H-School"
"Single","H-School"
"Married","Uni"
"Married","H-School"
"Single","H-School"
"Married","Uni"
"Separated","H-School"
"Married","Uni"
"Married","Not-H-School"
"Married","Uni"
"Married","Advanced"
"Single","Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","Not-H-School"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Single","Start Uni"
"Married","Uni"
"Married","Uni"
"Married","H-School"
"Single","Uni"
"Married","Uni"
"Divorced","Not-H-School"
"Married","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","Not-H-School"
"Single","Start Uni"
"Married","Start Uni"
"Single","H-School"
"Divorced","Advanced"
"Married","H-School"
"Single","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Married","H-School"
"Married","Not-H-School"
"Single","H-School"
"Married","H-School"
"Single","Start Uni"
"Separated","Not-H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Start Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","Uni"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Married","Not-H-School"
"Divorced","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Married","Uni"
"Single","Start Uni"
"Married","Start Uni"
"Single","Uni"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","Not-H-School"
"Married","H-School"
"Married","Uni"
"Single","Not-H-School"
"Married","Uni"
"Married","Advanced"
"Married","Advanced"
"Single","Start Uni"
"Married","Advanced"
"Single","Not-H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Uni"
"Married","Not-H-School"
"Single","H-School"
"Single","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","H-School"
"Married","H-School"
"Single","H-School"
"Single","Not-H-School"
"Married","Uni"
"Married","Uni"
"Married","Uni"
"Married","Start Uni"
"Married","Advanced"
"Divorced","H-School"
"Divorced","H-School"
"Married","H-School"
"Married","H-School"
"Single","H-School"
"Divorced","H-School"
"Married","Advanced"
"Married","H-School"
"Married","Advanced"
"Married","Uni"
"Single","Uni"
"Married","Not-H-School"
"Married","Start Uni"
"Married","Start Uni"
"Married","Uni"
"Married","Advanced"
"Married","Uni"
"Married","Start Uni"
"Single","Uni"
"Married","H-School"
"Single","Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Not-H-School"
"Married","H-School"
"Single","H-School"
"Single","Advanced"
"Married","Advanced"
"Married","Start Uni"
"Married","Advanced"
"Married","Uni"
"Married","Uni"
"Separated","H-School"
"Married","Uni"
"Married","Uni"
"Married","H-School"
"Divorced","Start Uni"
"Divorced","Advanced"
"Married","Uni"
"Single","Start Uni"
"Single","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Single","Uni"
"Married","Advanced"
"Married","Uni"
"Single","H-School"
"Married","Uni"
"Single","Uni"
"Married","H-School"
"Separated","H-School"
"Divorced","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Not-H-School"
"Married","H-School"
"Married","Uni"
"Married","Uni"
"Single","Not-H-School"
"Married","H-School"
"Married","Start Uni"
"Single","Start Uni"
"Married","Advanced"
"Single","Not-H-School"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Single","Uni"
"Single","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Divorced","H-School"
"Divorced","H-School"
"Married","Advanced"
"Single","Advanced"
"Married","Start Uni"
"Single","H-School"
"Married","H-School"
"Married","Uni"
"Single","Uni"
"Divorced","Start Uni"
"Married","Advanced"
"Married","Not-H-School"
"Single","Start Uni"
"Single","Start Uni"
"Married","Start Uni"
"Single","H-School"
"Married","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","Not-H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Single","Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Divorced","Uni"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Single","H-School"
"Married","Start Uni"
"Married","H-School"
"Single","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Advanced"
"Single","Start Uni"
"Single","H-School"
"Separated","Advanced"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Divorced","H-School"
"Married","Advanced"
"Married","Uni"
"Married","Not-H-School"
"Married","Start Uni"
"Married","Uni"
"Single","H-School"
"Married","Not-H-School"
"Single","Uni"
"Single","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Married","Not-H-School"
"Single","H-School"
"Married","H-School"
"Married","Uni"
"Married","Uni"
"Divorced","Uni"
"Single","Advanced"
"Single","Uni"
"Widowed","Uni"
"Married","Not-H-School"
"Married","H-School"
"Single","H-School"
"Married","Uni"
"Married","H-School"
"Single","Advanced"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Start Uni"
"Single","Not-H-School"
"Single","Start Uni"
"Single","H-School"
"Married","Start Uni"
"Married","Advanced"
"Single","H-School"
"Single","Start Uni"
"Married","Uni"
"Married","Advanced"
"Married","Not-H-School"
"Married","Start Uni"
"Single","Advanced"
"Married","Uni"
"Married","Start Uni"
"Married","Start Uni"
"Single","Start Uni"
"Married","Uni"
"Married","Uni"
"Single","H-School"
"Married","H-School"
"Single","H-School"
"Married","H-School"
"Single","Uni"
"Married","Uni"
"Single","Start Uni"
"Married","Not-H-School"
"Divorced","Uni"
"Single","Advanced"
"Married","Start Uni"
"Married","Uni"
"Single","Start Uni"
"Widowed","H-School"
"Single","Uni"
"Married","Uni"
"Married","Start Uni"
"Married","H-School"
"Married","Advanced"
"Divorced","Uni"
"Married","Advanced"
"Divorced","H-School"
"Married","Uni"
"Single","Uni"
"Married","H-School"
"Divorced","Start Uni"
"Married","Not-H-School"
"Married","Start Uni"
"Married","Not-H-School"
"Single","H-School"
"Married","H-School"
"Married","H-School"
"Divorced","Uni"
"Married","Advanced"
"Married","Not-H-School"
"Married","Not-H-School"
"Married","Advanced"
"Married","Start Uni"
"Single","Uni"
"Divorced","H-School"
"Married","Uni"
"Married","Start Uni"
"Separated","Uni"
"Married","Not-H-School"
"Married","Start Uni"
"Married","Uni"
"Single","Uni"
"Married","Uni"
"Single","Uni"
"Married","Uni"
"Single","Uni"
"Married","Uni"
"Married","Start Uni"
"Married","Uni"
"Married","Start Uni"
"Married","Uni"
"Single","Start Uni"
"Married","H-School"
"Single","Advanced"
"Married","Not-H-School"
"Single","Uni"
"Divorced","Advanced"
"Divorced","Start Uni"
"Married","Uni"
"Married","Advanced"
"Married","Not-H-School"
"Married","Uni"
"Single","Start Uni"
"Married","Advanced"
"Married","H-School"
"Married","Advanced"
"Single","Start Uni"
"Married","Uni"
"Married","Uni"
"Single","Uni"
"Married","Advanced"
"Married","Uni"
"Married","Start Uni"
"Married","Advanced"
"Married","Advanced"
"Married","Advanced"
"Divorced","H-School"
"Single","Uni"
"Married","Not-H-School"
"Divorced","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","Advanced"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Separated","Not-H-School"
"Married","Start Uni"
"Married","H-School"
"Single","Uni"
"Single","Uni"
"Married","Uni"
"Married","Uni"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","Uni"
"Single","H-School"
"Married","Uni"
"Single","Not-H-School"
"Single","Start Uni"
"Single","Uni"
"Married","Start Uni"
"Single","H-School"
"Married","Not-H-School"
"Married","Advanced"
"Widowed","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Advanced"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Uni"
"Married","H-School"
"Single","Uni"
"Married","Uni"
"Single","H-School"
"Married","Uni"
"Single","Start Uni"
"Married","Start Uni"
"Married","Start Uni"
"Married","Advanced"
"Married","Not-H-School"
"Single","H-School"
"Married","Not-H-School"
"Married","Not-H-School"
"Single","Uni"
"Married","Start Uni"
"Single","Start Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Uni"
"Divorced","Advanced"
"Single","Uni"
"Married","Advanced"
"Divorced","H-School"
"Single","Advanced"
"Single","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Married","Uni"
"Single","Uni"
"Divorced","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","Advanced"
"Married","H-School"
"Single","Advanced"
"Married","H-School"
"Married","Start Uni"
"Divorced","H-School"
"Married","Uni"
"Married","Not-H-School"
"Single","H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Start Uni"
"Single","Uni"
"Married","Start Uni"
"Married","Uni"
"Married","Advanced"
"Single","H-School"
"Single","Advanced"
"Divorced","H-School"
"Divorced","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Married","Not-H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Start Uni"
"Married","Advanced"
"Divorced","Not-H-School"
"Married","H-School"
"Divorced","H-School"
"Married","Advanced"
"Married","Start Uni"
"Married","Uni"
"Married","H-School"
"Married","Start Uni"
"Married","Advanced"
"Married","H-School"
"Married","H-School"
"Single","Not-H-School"
"Married","Advanced"
"Married","H-School"
"Married","Start Uni"
"Divorced","H-School"
"Married","H-School"
"Married","Advanced"
"Married","Uni"
"Married","Not-H-School"
"Married","Uni"
"Married","Start Uni"
"Single","H-School"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Single","H-School"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Single","Advanced"
"Married","H-School"
"Married","H-School"
"Married","Uni"
"Married","Uni"
"Married","Advanced"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Married","H-School"
"Married","Uni"
"Single","Advanced"
"Single","Not-H-School"
"Divorced","H-School"
"Married","H-School"
"Married","Uni"
"Single","Uni"
"Single","H-School"
"Married","Not-H-School"
"Married","H-School"
"Divorced","H-School"
"Married","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Married","Uni"
"Married","Not-H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Advanced"
"Single","Not-H-School"
"Single","Advanced"
"Married","H-School"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Uni"
"Married","Uni"
"Married","Advanced"
"Married","Start Uni"
"Married","Not-H-School"
"Married","Not-H-School"
"Married","Advanced"
"Married","Advanced"
"Married","Not-H-School"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Divorced","Start Uni"
"Divorced","H-School"
"Married","Not-H-School"
"Married","Start Uni"
"Single","Start Uni"
"Married","H-School"
"Married","H-School"
"Married","H-School"
"Married","Start Uni"
"Separated","Not-H-School"
"Separated","H-School"
